Order	Ref	disable	element	style	rank	test	test2	nextstyle1	nextstyle2	class-extra	class	message	note	Valid_occurance	Invalid_occurance	note_prior	note_prior_prior
2	1.1		para	b3	8	not(verse)				mid	err-para-b3-mid-1-1	A \\b3 paragraph must contain a \\v.		XXD  1:1			
3	1.2		para	p	8	not(verse)				mid	err-para-p-mid-1-2	A \\p paragraph must contain a \\v.		XXD  1:1			
4	1.3	TRUE	verse	v		not($parent = 'p')	not($parent = 'b3')				err-verse-v--1-3	\\v must be in a \\p or \\b3			-		
5	2.1	TRUE									err----2-1	This is not used			-		
6	3.1	TRUE	table			not(following-sibling::*[2][@style = 's5'] )					err-table---3-1	The \\tr is not followed by a \\s5 after a \\ntn	SC 22 Dec: Refinement: It is incorrect to have the \s5 above a \tr, \b or not.		-		
7	3.21	TRUE	para	p		$next1-3-21 > $next2-3-21		s5	p		err-para-p--3-21	A \\p containg a \\v must have a \\s5 following it.	SC 22 Dec: See XXD 3.6, \p \v \n1 sequence should be flagged. Also a \p \v \b \n1 sequence s/b flagged too.		-		
8	3.22	TRUE	para	b3		$next1-3-22 > $next2-3-22		s5	b3		err-para-b3--3-22	A \\b3 containg a \\v must have a \\s5 following it.	SC 22 Dec: Ditto above but for \b3 ...		-		
9	4.1	TRUE	table			not(preceding-sibling::*[1][@style = 'b'])					err-table---4-1	The \\tr should be preceeded by a \\b.	(SC: redundant with 7.3)		-		
10	4.2		row	tr		cell[2]/@style = 'tc1'					err-row-tr--4-2	The second column must be a \\tc2 in \\tr.		XXD  1:2			
11	4.3		row	tr		cell[1]/@style = 'tc2'					err-row-tr--4-3	The first column must be a \\tc1 in \\tr.		XXD  1:3			
12	4.4		cell	tc1		count(following-sibling::cell) = 0 and @style = 'tc1'	not(*[@style = 'sbx'] or contains(text(),'Paragraph'))			mid	err-cell-tc1-mid-4-4	A \\tc1 must contain either an \\sbx or the word ‘Paragraph’.		xxd 1:4			
