grp	sc-r	ref	disable	element	style	rank	test	test2	class-extra	message	note	Valid_error	Invalid_error	note_prior	note_prior_prior
TNDD	SC1.1	2		cell	tc1	10	not(count(*[@style = 'sbx']) = 2)	count(preceding::chapter) > 0		This \\tc1 SFM should have two \\sbx SFMs					
TNDD	SC1.2	3		cell	tc1	10	not(count(*[@style = 'tbb']) = 1)	count(preceding::chapter) > 0		This \\tc1 SFM should have one \\tbb __\tbb* SFM					
TNDD	SC8	4		char	brk	8	contains(text(),'⌊') and not(parent::*[@style = 'ros'])	post-inline=imp	post	This \\brk* SFM should only occur immediately before an \\imp SFM.					
TNDD	SC8	5		char	brk	10	contains(text(),'⌊')	following-sibling::node()[1]/text() = ' ' and following-sibling::node()[2]/@style = 'imp'	post	There should not be a space between this \\brk and the following \\imp.	This rule is covered by rule 5				
TNDD	SFM16	6		char	brk	0	contains(text(),'⌊') and position() > 1 and not(preceding-sibling::node()[1][@style = 'tbb']) and not(substring(following-sibling::char[1][@style = 'imp'],1,1) = '’')	not(translate(substring($presibnode1,string-length($presibnode1),1),'+ “/(‘','_+++++') = '+')	pre	This \\brk SFM is not preceded by a space or quotes or left parenthesis	Removed a redundant and critera in test 1				
TNDD	SC8	7		char	brk	8	contains(text(),'⌋') and not(parent::*[@style = 'ros'])	pre-inline=imp rgi rgm	pre	This \\brk SFM should only occur immediately after an \\imp* or \\rgi* SFM, except if in a \\ros ...\\ros*.		XXD 	XXD 7:3 ml1[2]		
TNDD	SC8	8	TRUE	char	brk	9	contains(text(),'⌋')	preceding-sibling::*[1]/text() != preceding-sibling::node()[1]/text() and not(preceding-sibling::node()[1]/child::*)	pre	There should not be a space between \\imp* and \\brk.	This rule is covered by rule 7	XXD 3:1 \ml1[2] 31:2 \qp[1]			
TNDD	SFM 17	9		char	brk	5	contains(text(),'⌋') and not(position() = last())	not(translate(substring($postsibnode1,1,1),'+ ,.?!:;”’)','_++++++++++') = '+')	post	This \\brk SFM is not followed by a space or punctuation					
TNDD	SC9	10		char	brk	5	string-length(text()) != 1			This \\brk SFM can contain only ⌊ or ⌋ but this does not match either of those.					
TNDD	SFM15	11	TRUE	char	imp	5	following-sibling::node()[1][@style = 'brk']	not(contains(following-sibling::node()[1]/text(),'⌋'))	post	This \\imp...\\imp* should be followed by \\bk ⌋\\bk*	Covered by rules 10 and 12				
